order_id	order_date	region	product	category	units	unit_price	customer_rating	delivered
1001	2026-01-05	West	Espresso	Coffee	19	2.41	3.0	yes
1002	2026-01-06	North	Chamomile	Tea	19	3.02	3.0	yes
1003	2026-01-08	South	Chamomile	Tea	16	3.1	3.0	no
1004	2026-01-09	West	Croissant	Pastry	20	3.07	1.0	yes
1005	2026-01-11	South	Chamomile	Tea	19	2.92		yes
1006	2026-01-12	South	Croissant	Pastry	18	2.86	3.0	yes
1007	2026-01-14	North	Café con Leche	Coffee	4	3.25	2.0	yes
1008	2026-01-15	West	Matcha Latte	Tea	17	4.54	4.0	yes
1009	2026-01-17	North	Flat White	Coffee	17	4.06		yes
1010	2026-01-18	South	Café con Leche	Coffee	17	3.11	3.0	yes
1011	2026-01-20	East	Café con Leche	Coffee	17	3.34	5.0	yes
1012	2026-01-21	North	Espresso	Coffee	14	2.46	4.0	yes
1013	2026-01-23	North	Croissant	Pastry	21	2.78	5.0	yes
1014	2026-01-24	East	Espresso	Coffee	14	2.68	5.0	yes
1015	2026-01-26	East	Café con Leche	Coffee	1	3.12	4.0	yes
1016	2026-01-27	South	Croissant	Pastry	4	2.79	3.0	yes
1017	2026-01-29	North	Matcha Latte	Tea	9	4.89	2.0	yes
1018	2026-01-30	West	Café con Leche	Coffee	7	3.26	2.0	yes
1019	2026-02-01	South	Espresso	Coffee	3	2.49	1.0	yes
1020	2026-02-02	West	Matcha Latte	Tea	5	4.57	1.0	yes
1021	2026-02-04	North	Espresso	Coffee	15	2.39	4.0	yes
1022	2026-02-05	North	Flat White	Coffee	8	3.71	4.0	yes
1023	2026-02-07	East	Croissant	Pastry	14	3.06		yes
1024	2026-02-08	South	Café con Leche	Coffee	19	3.49	2.0	yes
1025	2026-02-10	South	Matcha Latte	Tea	12	4.57	5.0	no
1026	2026-02-11	North	Café con Leche	Coffee	20	3.09	3.0	yes
1027	2026-02-13	East	Espresso	Coffee	7	2.42	4.0	yes
1028	2026-02-14	South	Croissant	Pastry	242	3.0	3.0	yes
1029	2026-02-16	West	Chamomile	Tea	5	3.27	5.0	yes
1030	2026-02-17	North	Flat White	Coffee	13	4.04	1.0	yes
1031	2026-02-19	North	Croissant	Pastry	6	2.94	5.0	yes
1032	2026-02-20	North	Chamomile	Tea	22	2.96	1.0	yes
1033	2026-02-22	South	Croissant	Pastry	2	3.03	5.0	yes
1034	2026-02-23	South	Matcha Latte	Tea	7	4.37	2.0	no
1035	2026-02-25	West	Matcha Latte	Tea	5	4.62	2.0	yes
1036	2026-02-26	North	Espresso	Coffee	19	2.65	3.0	yes
1037	2026-02-28	West	Chamomile	Tea	11	3.07	1.0	yes
1038	2026-03-01	South	Flat White	Coffee	8	3.93	5.0	yes
